Semana, CO, NO2,O3, PM10, PM2.5, SO2
1,0.452692,28.865239,28.590227,62.423038,32.178441,4.442518
2,0.379670,25.517826,29.064534,51.072506,24.981253,4.629934
3,0.349667,24.014777,25.923151,49.072007,26.219693,8.072540
4,0.401726,25.385333,25.890336,50.436245,20.046185,3.832470
5,0.395825,26.816111,31.196782,55.466179,22.735657,2.754759
6,0.391472,26.093396,34.284107,59.900745,26.664701,4.248336
7,0.355891,24.362633,30.548620,55.005646,25.306601,3.407390
8,0.349827,17.496106,19.719957,41.915725,15.257543,2.112159
9,0.379271,24.877765,32.137252,48.217719,21.689466,2.258355
10,0.427515,24.248441,35.021424,52.336009,24.121128,3.900234
11,0.513562,22.191393,34.439750,59.371425,26.134742,6.072023
12,0.592058,19.170794,30.337382,44.378540,20.282456,6.474586
13,0.389012,22.953029,40.626088,53.440918,23.206444,5.184702
14,0.454135,21.855210,41.438612,55.501515,28.338305,2.484269
15,0.563724,21.191345,46.933683,56.714128,26.285398,2.406794
16,0.362184,18.271964,48.160995,58.274144,28.079064,3.837415
17,0.325712,24.019585,46.175716,66.237498,36.246808,3.250053
18,0.378921,24.238010,41.283556,51.872050,30.767575,1.522916
19,0.467192,21.216130,43.300245,69.555072,45.183275,2.190751
20,0.315638,23.453612,46.280211,74.839933,50.809973,3.046289
21,0.577391,19.024301,50.843053,54.573935,28.212668,2.633554
22,0.458273,15.486572,42.136500,46.122843,21.825270,2.303653
23,0.357183,19.843569,28.712573,26.988532,15.074535,1.349944
24,0.472751,15.387131,39.277058,31.652630,16.173086,2.449228
25,0.571739,20.074244,38.088528,38.044407,23.821458,2.836223
26,0.375619,17.466189,27.794258,24.997892,13.587118,2.345128
27,0.487172,18.889196,31.226345,32.359212,17.690493,3.225679
28,0.571638,22.080470,29.421978,31.024597,20.354600,2.211268
29,0.465738,18.447732,30.849722,29.059937,17.551890,2.259377
30,0.375627,19.766696,27.986680,24.579761,15.275967,1.120504
31,0.478693,17.055294,34.249972,33.763026,17.341290,2.620576
32,0.285795,19.612614,27.896159,24.962326,14.785416,1.818319
33,0.583758,17.147631,34.635037,30.516493,15.416876,2.519455
34,0.487855,17.956326,29.432200,30.900856,17.077372,1.902177
35,0.347563,18.452317,34.772310,34.533842,17.764125,2.166537
36,0.458375,17.497094,31.426424,32.820077,17.345819,2.272395
37,0.458475,17.188672,25.358941,24.709905,13.103505,1.818073
38,0.547783,17.821906,28.608743,29.481152,18.131717,2.800222
39,0.453637,18.623192,29.391388,31.300741,18.849621,2.842802
40,0.481743,15.667940,26.332691,22.825993,11.879191,1.660707
41,0.375634,15.669188,25.332525,24.350873,12.436014,2.108197
42,0.645634,17.150010,16.467162,25.133694,11.337149,3.731086
43,0.589323,21.440528,21.542804,29.700469,17.745848,2.578926
44,0.345274,23.662068,21.649793,33.161187,21.538034,4.386332
45,0.454634,18.873252,21.303462,32.937760,16.164567,4.683956
46,0.538357,21.099190,23.031795,36.762054,17.905604,5.716072
47,0.485768,25.912612,24.477356,49.459552,25.542184,4.991159
48,0.437251,27.691644,24.984072,56.060781,24.573216,4.810994
49,0.435462,29.851454,25.551421,54.129670,23.533305,5.255562
50,0.345739,31.625716,29.086866,61.631360,26.925665,3.611928
51,0.351245,32.977878,20.371998,63.541876,26.925665,9.697055
52,0.452351,26.904942,24.680066,49.139308,26.854054,3.459962
