Semana,IncidenciaS
1,555.4 
2,722.5 
3,583.3 
4,705.9 
5,560.3
6,487.3 
7,468.0 
8,511.5 
9,463.0 
10,432.3
11,458.4 
12,412.3 
13,354.3 
14,395.5 
15,366.1
16,374.5 
17,352.1 
18,322.9 
19,316.3
20,375.6
21,340.1 
22,366.8 
23,310.2 
24,338.3 
25,304.1
26,337.0 
27,299.5 
28,334.4 
29,310.0 
30,310.1
31,267.1
32, 266.9
33, 263.4 
34,281.4 
35,327.0
36,390.3 
37,414.8 
38,436.0 
39,406.8 
40,410.2
41,409.3 
42,408.9 
43,433.7 
44,368.0 
45,431.4
46,466.7 
47,485.7 
48,570.5 
49,534.0 
50,401.9
51, 540.7 
52,440.3
